Product_name,Product_price_before,Product_price_now,Product_product_company,Product_product_company_url
Biotherm - Skin Oxygen Skin Strengthening Concentrate -[Parallel Import Product],$617.40,$388.00,Beautique,https://www.hktvmall.com/hktv/en/s/H5621001
Vprove - Ampoule Expert Betaglucan Soothing Ampoule,$260.00,$130.00,Vprove HK,https://www.hktvmall.com/hktv/en/s/H5813001
Kiss me - Heroine Make Smooth Liquid Eyeliner 03 Dark Brown,RRP: $79 Thankful Offer,$69.00,Pretties,https://www.hktvmall.com/hktv/en/s/H0958013
Crabtree & Evelyn - Summer Hill Hand Therapy 25g,,$70.00,Crabtree & Evelyn,https://www.hktvmall.com/hktv/en/s/H0989001
Fancl - Washing Powder,$199.00,$122.00,Vanessa Beauty,https://www.hktvmall.com/hktv/en/s/H0967002
Shu Uemura - Anti/Oxi+ pollutant & dullness clarifying cleansing oil -[Parallel Import Product],$670.00,$498.00,LIVING BEAUTY,https://www.hktvmall.com/hktv/en/s/H1188001
Peter Thomas Roth - Blue Marine Algae Intense Hydrating Mask -[Parallel Import Product],$490.00,$198.00,LIVING BEAUTY,https://www.hktvmall.com/hktv/en/s/H1188001
Lancome - Grandiose Smudgeproof Trio,$298.00,$238.00,Beauty Box,https://www.hktvmall.com/hktv/en/s/H5627001
JOURMOE - 3 in One liner & shadow 04 Casual,$155.00,$106.00,Jadora,https://www.hktvmall.com/hktv/en/s/H0623003
ZINO - Z-nail 3 in 1 Soak-Off Gel--Classy Nude#0502,$238.00,$179.00,ZINO,https://www.hktvmall.com/hktv/en/s/H0997001
k:becos - Agetox Brightening Black SYN-AKE Hydro Gel Mask - 3pcs,$69.90,$39.90,Yick Fung Hong,https://www.hktvmall.com/hktv/en/s/H1081002
Kose - Clear Turn Bihada- Syokunin Brightening Mask (Job's Tears),$48.00,$26.00,Saving International (Holdings) Ltd.,https://www.hktvmall.com/hktv/en/s/H1026001
Kracie - Na√Øve Makeup Removal Sheet,$39.00,$37.90,My Pharmacy,https://www.hktvmall.com/hktv/en/s/H0888002
Neutrogena - Hydro Boost Mask,$119.90,$99.00,Johnson & Johnson,https://www.hktvmall.com/hktv/en/s/H0526001
MAC - Matte Lipstick - Chili 3g,$243.00,$178.00,NANA MALL,https://www.hktvmall.com/hktv/en/s/H5859001
Smashbox - Step By Step Contour Kit (1 x Contour Palette + 1 x Contour Brush) -[Parallel Import Product],$387.00,$240.00,Beautique,https://www.hktvmall.com/hktv/en/s/H5621001
Bioderma - S√©bium H2O - make-up removing micellar water 500ml -[Parallel Import Product],$228.00,$108.00,LIVING BEAUTY,https://www.hktvmall.com/hktv/en/s/H1188001
Sofina - Primavista Ange Perfect Coverage Oil Control Loose Facial Powder 6g,RRP: $149 Thankful Offer,$133.00,Pretties,https://www.hktvmall.com/hktv/en/s/H0958013
Wonder Bath - 3 in 1 Make Up Remove Cleanser 300ml,$198.00,$138.00,Hello Bear,https://www.hktvmall.com/hktv/en/s/H0956007
BC LINK - 1 Unit H2 Hydrogen Water Dark - sport and wrinkle care Cream,SRP$199 Thankful,$103.00,Vanessa Beauty,https://www.hktvmall.com/hktv/en/s/H0967002
Peter Thomas Roth - Rose Stem Cell Bio-Repair Gel Mask -[Parallel Import Product],$520.00,$198.00,LIVING BEAUTY,https://www.hktvmall.com/hktv/en/s/H1188001
Shiseido - Senka All clear Oil 180ml,SRP$176 Thankful,$83.00,F & M,https://www.hktvmall.com/hktv/en/s/H0967001
Kiehl's - Ultra Facial Moisturizer,$270.00,$268.00,Beauty Box,https://www.hktvmall.com/hktv/en/s/H5627001
Heme - ËºïÂêªÁµ≤Áµ®?áÈ? 5.6g (01 Bare ËºïÊ?),$108.00,$78.00,Jadora,https://www.hktvmall.com/hktv/en/s/H0623003
ZINO - Z-nail 3 in 1 Soak-Off Gel--Classic Red#0102,$238.00,$179.00,ZINO,https://www.hktvmall.com/hktv/en/s/H0997001
k:becos - Prime Gold Collagen PLACENTA Hydro Gel Mask - 3pcs,$69.90,$39.90,Yick Fung Hong,https://www.hktvmall.com/hktv/en/s/H1081002
Kose - Clear Turn Bihada- Syokunin Moisturizing Mask (Japanese Sake),$48.00,$26.00,Saving International (Holdings) Ltd.,https://www.hktvmall.com/hktv/en/s/H1026001
MANDOM - Barrier Repair Moisture Watery Sheet Mask - Orange Box,$68.00,$59.00,LIVING BEAUTY,https://www.hktvmall.com/hktv/en/s/H1188001
MORITAYA - Tofu Yogurt Soy Milk Mask (Red),$99.00,$59.00,LIVING BEAUTY,https://www.hktvmall.com/hktv/en/s/H1188001
Curel - Makeup Cleansing Gel 130g [For Dry & Sensitive Skin Type],$123.00,$82.00,NANA MALL,https://www.hktvmall.com/hktv/en/s/H5859001
Lancome - Advanced Genifique Sensitive Youth Activating + Sensitivity Soothing Dual Concentrate - All Skin Typ -[Parallel Import Product],$820.00,$492.00,Beautique,https://www.hktvmall.com/hktv/en/s/H5621001
Shiseido - Elixir White Sleeping Clear Pack C 105g,$566.00,$396.00,NANA MALL,https://www.hktvmall.com/hktv/en/s/H5859001
